date, pm25, pm10, o3, no2, so2, co
2025/11/2, 79, 35, , 24, 5, 4
2025/11/3, 73, 23, , 19, 4, 3
2025/11/4, 52, 27, , 13, 4, 2
2025/11/5, 64, 49, , 20, 5, 6
2025/11/6, 114, 30, , 21, 6, 7
2025/11/7, 76, 8, , 10, 4, 3
2025/11/8, 30, 11, , 9, 4, 3
2025/11/9, 37, 19, , 7, 4, 3
2025/11/10, 64, 17, , 9, 4, 3
2025/11/11, 62, 39, , 18, 5, 4
2025/11/12, 103, 44, , 16, 5, 7
2025/11/13, 106, 58, , , , 
2025/11/14, 121, 68, , 35, 5, 11
2025/11/15, 150, 64, , 23, 6, 10
2025/11/16, 133, 63, , 30, 6, 12
2025/11/17, 127, 54, , 21, 3, 4
2025/11/18, 76, , , , , 
2025/10/1, 62, 16, , 9, 4, 2
2025/10/2, 49, 13, , 15, 4, 3
2025/10/3, 49, 23, , 13, 4, 3
2025/10/4, 66, 18, , 16, 5, 3
2025/10/5, 58, 14, , 14, 5, 2
2025/10/6, 43, 13, , 10, 4, 2
2025/10/7, 37, 24, , 12, 5, 2
2025/10/8, 52, 28, , 17, 5, 3
2025/10/9, 69, 23, , 13, 4, 3
2025/10/10, 51, 23, , 14, 4, 3
2025/10/11, 48, 21, , 18, 5, 3
2025/10/12, 60, 29, , 17, 5, 3
2025/10/13, 66, 33, , 15, 7, 3
2025/10/14, 61, 45, , 20, 7, 5
2025/10/15, 84, 39, , 18, 5, 4
2025/10/16, 81, 33, , 18, 6, 4
2025/10/17, 77, 49, , 17, 5, 4
2025/10/18, 112, 24, , 25, 6, 8
2025/10/19, 50, 46, , 24, 6, 6
2025/10/20, 98, 30, , 18, 6, 4
2025/10/21, 68, 32, , 22, 6, 5
2025/10/22, 70, 25, , 22, 7, 4
2025/10/23, 54, 14, , 28, 18, 7
2025/10/24, 28, 17, , 22, 8, 4
2025/10/25, 38, 13, , 16, 7, 4
2025/10/27, 48, 13, , 15, 6, 3
2025/10/28, 30, 18, , 17, 7, 4
2025/10/29, 41, 43, , 32, 10, 7
2025/10/30, 71, 51, , 40, 9, 11
2025/10/31, 88, 52, , 33, 8, 12
2025/11/1, 103, 38, , 22, 6, 5
2025/7/1, 30, 34, , 16, 5, 2
2025/7/2, 35, 40, , 24, 4, 3
2025/7/3, 39, 45, , 19, 5, 2
2025/7/4, 46, 27, , 5, 4, 1
2025/7/5, 36, 26, , 20, 5, 2
2025/7/6, 47, 33, , 25, 7, 2
2025/7/7, 56, 30, , 18, 5, 2
2025/7/8, 46, 8, , 11, 13, 2
2025/7/9, 29, 14, , 11, 11, 1
2025/7/10, 27, 20, , 15, 13, 1
2025/7/11, 37, 24, , 23, 12, 2
2025/7/12, 45, 18, , 19, 12, 1
2025/7/13, 39, 21, , 16, 13, 
2025/7/14, 32, , , 19, 12, 1
2025/7/15, 39, , , , , 
2025/7/17, 31, 16, , 10, 7, 1
2025/7/18, 31, 21, , 20, 3, 2
2025/7/19, 41, 20, , 24, 4, 3
2025/7/20, 44, 31, , 26, 4, 4
